star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,hostname,pl_letter,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_eqt,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbsmax,pl_dens,pl_denserr1,pl_denserr2,st_teff,st_rad,sy_dist,default_flag
TOI-1136c,1.26,1.9,2.876,1058,8,TOI-1136 c,TOI-1136 c,TOI-1136,c,,,,6.2574,1062,6.32,1.1,-1.3,0.0669,1.45,0.29,-0.29,5770,0.968,84.5362,1
TOI-663b,2.59,1.9,2.274,739,9.6,TOI-663 b,TOI-663 b,TOI-663,b,2.27,0.1,-0.09,2.598902,674,4.45,0.63,-0.66,0.0295,2.07,0.42,-0.38,3681,0.512,64.2308,1
TOI-663c,2.55,1.8,2.262,607,9.6,TOI-663 c,TOI-663 c,TOI-663,c,2.26,0.1,-0.1,4.6955507,553,3.65,0.97,-0.97,0.0437,1.73,0.54,-0.49,3681,0.512,64.2308,1
TOI-178e,1.69,1.8,2.299,605,8.8,TOI-178 e,TOI-178 e,TOI-178,e,2.207,0.088,-0.09,9.961881,600,3.86,1.25,-0.94,0.0783,1.98,0.788,-0.53,4316,0.651,62.699,1
HD_086226c,0.57,1.8,2.162,1310,6.5,HD 86226 c,HD 86226 c,HD 86226,c,2.16,0.08,-0.08,3.98442,1311,7.25,1.19,-1.12,0.049,3.97,0.78,-0.73,5863,1.053,45.683,1
TOI-269,3.04,1.7,2.766,575,10.1,TOI-269 b,TOI-269 b,TOI-269,b,2.77,0.12,-0.12,3.6977104,531,8.8,1.4,-1.4,0.0345,2.28,0.48,-0.42,3514,0.398,57.0225,1
TOI-1422,1.99,1.7,3.954,865,9.2,TOI-1422 b,TOI-1422 b,TOI-1422,b,3.96,0.13,-0.11,12.9972,867,9,2.3,-2,0.108,0.795,0.29,-0.235,5840,1.019,155.141,1
HD_021749b,0.34,1.7,2.856,408,5.4,GJ 143 b,GJ 143 b,GJ 143,b,2.61,0.17,-0.16,35.61253,422,22.7,2.2,-1.9,0.1915,7,1.6,-1.3,4640,0.695,16.32,1
HD_015337c,0.73,1.7,2.524,644,7,HD 15337 c,HD 15337 c,HD 15337,c,2.526,0.086,-0.075,17.180546,,6.792,1.302,-1.143,,2.303,0.505,-0.414,5131,0.855,44.8155,1
K2-025b,3.29,1.6,3.427,494,10.4,K2-25 b,K2-25 b,K2-25,b,3.44,0.12,-0.12,3.48456408,494,24.5,5.7,-5.2,0.0287,,,,3207,0.2932,44.9565,1
LHS_1140b,1.55,1.6,1.728,225,8.8,LHS 1140 b,LHS 1140 b,LHS 1140,b,1.73,0.025,-0.025,24.73723,226,5.6,0.19,-0.19,0.0946,5.9,0.3,-0.3,3096,0.2159,14.9861,1
K2-266d,1.58,1.6,2.923,538,8.9,K2-266 d,K2-266 d,K2-266,d,2.93,0.14,-0.12,14.697,538.3,8.9,5.7,-3.8,0.1035,2.03,0.64,-0.43,4285,0.703,77.5586,1
