CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
4.633,0.015,0.5859,0.0075,-0.0075,Beatty et al. 2024,0.07654,0.00049,-0.00049,Calculated,0.4074,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.647,0.015,0.5984,0.0073,-0.0073,Beatty et al. 2024,0.07736,0.00047,-0.00047,Calculated,0.4118,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.662,0.015,0.5899,0.0075,-0.0075,Beatty et al. 2024,0.0768,0.00049,-0.00049,Calculated,0.4088,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.678,0.015,0.5995,0.0078,-0.0078,Beatty et al. 2024,0.07743,0.0005,-0.00051,Calculated,0.4121,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.692,0.015,0.594,0.0078,-0.0078,Beatty et al. 2024,0.07707,0.0005,-0.00051,Calculated,0.4102,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.707,0.015,0.5876,0.0078,-0.0078,Beatty et al. 2024,0.07666,0.00051,-0.00051,Calculated,0.408,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.723,0.015,0.5762,0.0079,-0.0079,Beatty et al. 2024,0.07591,0.00052,-0.00052,Calculated,0.4041,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.738,0.015,0.5864,0.0077,-0.0077,Beatty et al. 2024,0.07658,0.0005,-0.0005,Calculated,0.4076,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.752,0.015,0.5938,0.0079,-0.0079,Beatty et al. 2024,0.07706,0.00051,-0.00051,Calculated,0.4102,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.768,0.015,0.5998,0.0084,-0.0084,Beatty et al. 2024,0.07745,0.00054,-0.00054,Calculated,0.4122,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.783,0.015,0.6002,0.0086,-0.0086,Beatty et al. 2024,0.07747,0.00055,-0.00056,Calculated,0.4124,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.797,0.015,0.5855,0.0089,-0.0089,Beatty et al. 2024,0.07652,0.00058,-0.00058,Calculated,0.4073,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.812,0.015,0.5815,0.0085,-0.0085,Beatty et al. 2024,0.07626,0.00056,-0.00056,Calculated,0.4059,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.828,0.015,0.5897,0.0092,-0.0092,Beatty et al. 2024,0.07679,0.0006,-0.0006,Calculated,0.4088,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.842,0.015,0.5932,0.0083,-0.0083,Beatty et al. 2024,0.07702,0.00054,-0.00054,Calculated,0.41,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.857,0.015,0.6084,0.0084,-0.0084,Beatty et al. 2024,0.078,0.00054,-0.00054,Calculated,0.4152,0.014,-0.014,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.873,0.015,0.5852,0.0091,-0.0091,Beatty et al. 2024,0.0765,0.00059,-0.0006,Calculated,0.4072,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.887,0.015,0.6026,0.0094,-0.0094,Beatty et al. 2024,0.07763,0.0006,-0.00061,Calculated,0.4132,0.014,-0.014,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.902,0.015,0.5781,0.0097,-0.0097,Beatty et al. 2024,0.07603,0.00064,-0.00064,Calculated,0.4047,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.918,0.015,0.5997,0.0092,-0.0092,Beatty et al. 2024,0.07744,0.00059,-0.0006,Calculated,0.4122,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.933,0.015,0.584,0.0104,-0.0104,Beatty et al. 2024,0.07642,0.00068,-0.00068,Calculated,0.4068,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.947,0.015,0.5943,0.0106,-0.0106,Beatty et al. 2024,0.07709,0.00068,-0.00069,Calculated,0.4104,0.014,-0.014,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.963,0.015,0.5832,0.0108,-0.0108,Beatty et al. 2024,0.07637,0.0007,-0.00071,Calculated,0.4065,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
