star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
TOI-1634,0.88,1.0,1.772,920,8.6,TOI-1634 b,TOI-1634 b,1.0,TOI-1634,7.57,0.71,-0.72,7.6,1.3,-1.1,848.01,b,0.9893455,0.0149,1.773,0.077,-0.077,1.0357615,2023-07-10,0.45,3472.0,35.2736,9.484,8.6
TOI-4010b,1.79,1.0,3.013,1439,10.2,TOI-4010 b,TOI-4010 b,1.0,TOI-4010,11.0,1.29,-1.27,2.2,0.3,-0.3,1441.0,b,1.348335,0.0229,3.02,0.08,-0.08,1.77,2023-06-27,0.83,4960.0,177.504,10.649,10.157
K2-018b,1.0,1.0,2.71,301,8.9,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,2019-03-18,0.411,3457.0,38.0266,9.763,8.899
HD_152843b,0.55,1.0,3.046,1123,7.6,HD 152843 b,HD 152843 b,1.0,HD 152843,11.56,6.58,-6.14,1.58,0.96,-0.83,1003.11,b,11.6264,0.1053,3.41,0.14,-0.12,5.53,2021-06-11,1.43,6310.0,107.898,7.896,7.629
TOI-1803b,1.4,1.0,2.99,780,9.7,TOI-1803 b,TOI-1803 b,1.0,TOI-1803,10.32,1.66,-0.48,2.15031,0.551362,-0.551362,747.0,b,6.293287,0.06,2.99,0.08,-0.08,2.59,2025-05-13,0.715,4687.0,119.24,10.283,9.658
TOI-6054c,0.35,1.0,2.811,1145,6.7,TOI-6054.02,TOI-6054.02,1.0,TOI-6054,9.3,1.9,-1.9,2.25,0.68,-0.57,1143.0,c,12.563636,0.1079,2.82,0.17,-0.16,6.62,2025-09-17,1.662,6047.0,79.407,6.988,6.673
K2-100,1.1,1.0,3.875,1839,9.2,K2-100 b,K2-100 b,1.0,K2-100,21.8,6.2,-6.2,2.04,0.66,-0.61,1841.0,b,1.6739035,0.0301,3.88,0.16,-0.16,1.355,2021-07-12,1.24,5945.0,188.959,9.463,9.182
HD_015337b,0.4,0.9,1.768,989,7.0,HD 15337 b,HD 15337 b,1.0,HD 15337,6.519,0.409,-0.4,6.458,0.518,-0.51,909.53,b,4.7559804,0.05245,1.77,0.032,-0.03,2.5469696,2025-02-12,0.855,5131.0,44.8155,7.553,7.044
K2-266e,0.92,0.9,2.733,490,8.9,K2-266 e,K2-266 e,1.0,K2-266,14.3,6.4,-5.0,2.21,0.7,-0.47,490.1,e,19.482,0.1249,2.73,0.14,-0.11,3.6648,2022-10-31,0.703,4285.0,77.5586,9.611,8.897
TOI-733,0.56,0.9,1.99,1055,7.8,TOI-733 b,TOI-733 b,1.0,TOI-733,5.72,0.7,-0.68,3.98,0.77,-0.66,1055.8,b,4.884765,0.0618,1.992,0.085,-0.09,2.61,2023-04-17,0.949,5585.0,75.2092,8.22,7.845
TOI-5076,0.78,0.9,3.487,540,8.6,TOI-5076 b,TOI-5076 b,1.0,TOI-5076,16.14568308,2.47906157,-2.47906157,2.08,0.35,-0.34,550.0,b,23.443162,0.1481,3.48935569,0.09975993,-0.09415544,4.882,2025-03-03,0.844,4780.0,82.857,9.164,8.582
HD_020329,0.4,0.9,1.714,2138,7.1,HD 20329 b,HD 20329 b,1.0,HD 20329,7.42,1.09,-1.09,8.06,1.53,-1.53,2141.0,b,0.926118,0.018,1.72,0.07,-0.07,1.26,2022-11-29,1.13,5596.0,63.6796,7.492,7.116
K2-093b,0.52,0.9,2.593,959,7.7,HIP 41378 b,HIP 41378 b,1.0,HIP 41378,6.89,0.88,-0.88,2.17,0.28,-0.28,959.0,b,15.57208,,2.595,0.036,-0.036,4.931,2025-09-17,1.273,6320.0,106.289,7.982,7.722
Kepler-088,2.9,0.9,3.774,1044,11.4,KOI-142 b,KOI-142 b,1.0,KOI-142,9.5,1.1,-1.1,1.29,0.16,-0.16,758.0,b,10.91647,0.09586,3.438,0.075,-0.075,3.28,2020-05-28,0.897,5466.0,376.863,11.882,11.454
TOI-757,0.55,0.9,2.498,640,7.9,TOI-757 b,TOI-757 b,1.0,TOI-757,10.5,2.2,-2.1,3.6,0.8,-0.8,641.0,b,17.46819,0.122,2.5,0.1,-0.1,3.72,2024-08-07,0.78,5278.0,60.3418,8.35,7.874
TOI-220,0.75,0.9,3.024,792,8.5,TOI-220 b,TOI-220 b,1.0,TOI-220,13.8,1.0,-1.0,2.73,0.47,-0.47,805.0,b,10.695264,0.08911,3.03,0.15,-0.15,2.239,2021-05-28,0.858,5298.0,90.7402,9.03,8.542
HIP_08152b,0.71,0.9,2.554,856,8.4,HIP 8152 b,HIP 8152 b,1.0,HIP 8152,8.9,1.7,-1.7,2.97,0.81,-1.08,794.96,b,10.751014,0.093,2.53625843,0.15691518,-0.13542085,2.9954278,2024-07-23,0.9603,5618.0,101.694,8.847,8.449
TOI-178c,0.81,0.9,1.753,879,8.8,TOI-178 c,TOI-178 c,1.0,TOI-178,4.77,0.55,-0.68,5.62,1.5,-1.3,873.0,c,3.23845,0.037,1.669,0.114,-0.099,1.95,2021-03-12,0.651,4316.0,62.699,9.372,8.656
K2-370,0.99,0.8,2.668,1481,9.2,K2-370 b,K2-370 b,1.0,K2-370,,,,,,,1267.0,b,2.14084,,3.207,0.224,-0.548,1.569,2022-03-16,0.971,5377.0,144.202,9.667,9.237001
TOI-238c,0.73,0.8,2.184,775,8.6,TOI-238 c,TOI-238 c,1.0,TOI-238,6.7,1.1,-1.1,1.83,0.66,-0.66,696.0,c,8.465651,0.0749,2.18,0.18,-0.18,,2024-02-16,0.733,5059.0,80.5407,9.214,8.598
HD_095338,0.29,0.8,3.886,447,6.6,HD 95338 b,HD 95338 b,1.0,HD 95338,42.44,2.22,-2.08,3.98,0.62,-0.64,385.0,b,55.087,0.262,3.89,0.19,-0.2,5.709,2020-07-17,0.87,5212.0,36.9941,7.099,6.591
TOI-2458,0.52,0.8,2.822,1509,7.9,TOI-2458 b,TOI-2458 b,1.0,TOI-2458,13.31,0.99,-0.96,3.23,0.76,-0.64,1509.4,b,3.73659,0.0482,2.83,0.2,-0.18,2.13,2024-12-10,1.31,6005.0,112.958,8.196,7.891
TOI-132,1.16,0.8,3.427,1531,9.6,TOI-132 b,TOI-132 b,1.0,TOI-132,22.4,1.9,-1.92,3.08,0.44,-0.46,1395.0,b,2.1097019,0.026,3.42,0.13,-0.14,2.1344043,2020-02-21,0.9,5397.0,163.678,10.141,9.646
K2-019c,2.3,0.8,4.099,767,11.2,K2-19 c,K2-19 c,1.0,K2-19,10.8,0.6,-0.6,0.87,0.14,-0.14,679.0,c,11.8993,0.1017,4.1,0.2,-0.2,3.7848,2022-01-31,0.82,5322.0,289.827,11.596,11.161
K2-079,1.28,0.8,4.088,1023,9.9,K2-79 b,K2-79 b,1.0,K2-79,9.2,2.4,-2.4,0.73,0.21,-0.2,1022.0,b,10.9947,0.0988,4.09,0.17,-0.12,3.8732381,2023-04-17,1.265,5897.0,256.011,10.358,9.907
TOI-1238c,0.91,0.8,2.106,780,9.2,TOI-1238 c,TOI-1238 c,1.0,TOI-1238,8.32,1.9,-1.88,4.9,2.5,-1.8,695.0,c,3.294736,0.037,2.11,0.14,-0.14,1.75,2025-07-29,0.58,4089.0,70.7145,10.039,9.184
K2-167b,0.31,0.8,2.33,1193,6.9,K2-167 b,K2-167 b,1.0,K2-167,6.5,1.6,-1.5,2.87,0.24,-0.36,1220.0,b,9.978541,0.0932,2.36509493,0.21297063,-0.14571675,3.6,2024-11-20,1.499,6310.0,80.8994,7.202,6.887
TOI-5817,0.34,0.8,2.778,950,7.1,TOI-5817 b,TOI-5817 b,1.0,TOI-5817,10.3,1.4,-1.3,1.93,0.41,-0.34,950.0,b,15.61031,0.1223,3.08,0.14,-0.14,6.0,2025-08-14,1.427,5770.0,80.7542,7.42,7.084
TOI-1062,0.58,0.8,2.262,1032,8.3,TOI-1062 b,TOI-1062 b,1.0,TOI-1062,10.15,0.81,-0.84,4.85,0.84,-0.74,1077.0,b,4.11296,0.052,2.265,0.096,-0.091,1.08,2021-08-03,0.84,5328.0,82.1733,8.777,8.296
K2-136c,0.59,0.8,3.002,518,8.4,K2-136 c,K2-136 c,1.0,K2-136,18.1,1.9,-1.8,3.69,0.67,-0.56,470.0,c,17.30713,0.1185,3.0,0.13,-0.13,3.449,2023-04-10,0.677,4500.0,59.2474,9.096,8.368
HD_023472b,0.37,0.7,1.994,558,7.3,HD 23472 b,HD 23472 b,1.0,HD 23472,8.32,0.78,-0.79,6.15,1.2,-1.0,543.0,b,17.667087,0.1162,2.0,0.11,-0.1,2.67,2022-10-03,0.71,4684.0,39.0341,7.865,7.207
TOI-1064b,0.61,0.7,2.585,724,8.5,TOI-1064 b,TOI-1064 b,1.0,TOI-1064,13.5,1.7,-1.8,4.30062,0.551362,-0.606498,784.0,b,6.443868,0.06152,2.587,0.043,-0.042,1.98,2022-01-31,0.726,4734.0,68.0726,9.097,8.467
K2-032c,1.13,0.7,3.136,633,9.8,K2-32 c,K2-32 c,1.0,K2-32,8.1,2.4,-2.4,1.43,0.48,-0.45,634.0,c,20.66093,0.13843,3.134,0.123,-0.102,4.35,2021-05-17,0.86,5271.0,157.682,10.404,9.821
HD_307842,0.41,0.7,1.926,1309,7.6,TOI-784 b,TOI-784 b,1.0,HD 307842,9.67,0.83,-0.82,7.4,1.4,-1.2,1256.0,b,2.7970365,0.038,1.93,0.11,-0.09,2.185,2023-07-10,0.907,5558.0,64.5997,8.071,7.64
TOI-6054b,0.26,0.7,2.643,1360,6.7,TOI-6054.01,TOI-6054.01,1.0,TOI-6054,12.5,1.7,-1.6,3.7,0.9,-0.73,1360.0,b,7.501428,0.0763,2.64,0.15,-0.15,5.65,2025-09-17,1.662,6047.0,79.407,6.988,6.673
K2-285c,1.17,0.7,3.528,741,10.0,K2-285 c,K2-285 c,1.0,K2-285,15.68,2.28,-2.13,1.95,0.32,-0.28,741.4,c,7.138048,0.0824,3.53,0.08,-0.08,2.52,2018-12-11,0.787,4975.0,154.961,10.477,9.971
TOI-1075,0.79,0.7,1.79,1322,9.1,TOI-1075 b,TOI-1075 b,1.0,TOI-1075,9.95,1.36,-1.3,9.32,2.05,-1.85,1323.0,b,0.6047328,0.01159,1.791,0.116,-0.081,1.0403847,2022-11-07,0.581,3875.0,61.4592,9.935,9.115
TOI-669,0.79,0.7,2.598,1239,9.1,TOI-669 b,TOI-669 b,1.0,TOI-669,10.0,1.4,-1.4,3.17,0.73,-0.95,1124.85,b,3.945152,0.048,2.58606487,0.13042739,-0.11014467,2.8712193,2024-07-23,0.9882,5597.0,142.867,9.557,9.134
HD_213885,0.22,0.7,1.744,1274,6.4,HD 213885 b,HD 213885 b,1.0,HD 213885,8.83,0.66,-0.65,9.15,1.1,-1.0,2128.0,b,1.008035,0.02012,1.745,0.051,-0.052,1.41,2019-12-02,1.1011,5978.0,48.0883,6.806,6.419
K2-285b,1.09,0.7,2.587,1089,10.0,K2-285 b,K2-285 b,1.0,K2-285,9.68,1.21,-1.37,3.07,0.45,-0.45,1088.9,b,3.471745,0.03817,2.59,0.06,-0.06,2.18,2018-12-11,0.787,4975.0,154.961,10.477,9.971
Kepler-068,0.57,0.7,2.308,1253,8.6,Kepler-68 b,Kepler-68 b,1.0,Kepler-68,8.03,0.67,-0.67,3.37,0.3,-0.29,1275.0,b,5.39875259,0.06135,2.357,0.023,-0.023,3.127,2023-04-17,1.2564,5847.0,144.166,8.975,8.588
Kepler-080,3.0,0.6,2.371,708,12.2,Kepler-80 b,Kepler-80 b,1.0,Kepler-80,6.93,1.05,-0.7,1.38,0.24,-0.17,547.0,b,7.05246,0.0648,2.67,0.1,-0.1,2.3982,2016-08-04,0.678,4540.0,369.451,12.954,12.253
TOI-1117b,0.8,0.6,2.453,1532,9.4,TOI-1117 b,TOI-1117 b,1.0,TOI-1117,8.9,0.95,-0.96,3.3,0.6,-0.6,1538.0,b,2.22816,0.033,2.46,0.13,-0.12,2.015,2025-06-26,1.05,5635.0,167.598,9.770001,9.385
Kepler-037,0.41,0.6,1.994,499,7.9,Kepler-37 b,Kepler-37 b,1.0,Kepler-37,0.79,3.1783,-3.1783,140.0,,,718.0,b,13.36702,0.1019,0.3098,0.0059,-0.0076,3.733,2023-04-17,0.789,5357.0,63.9207,8.356,7.942
Kepler-026,3.53,0.6,3.218,524,12.6,Kepler-26 b,Kepler-26 b,1.0,Kepler-26,5.12,0.65,-0.61,1.26,0.21,-0.19,431.0,b,12.28,0.0847,2.78,0.11,-0.11,2.7096,2016-04-13,0.512,3914.0,335.307,13.408,12.63
TOI-1408c,0.43,0.6,2.218,2023,8.1,TOI-1408 c,TOI-1408 c,1.0,TOI-1408,7.6,0.2,-0.2,3.8,0.3,-0.3,1864.0,c,2.1664,0.03587,2.22,0.06,-0.06,2.67,2024-08-07,1.53,6117.0,139.484,8.365,8.078
TOI-908,0.88,0.6,3.183,1346,9.6,TOI-908 b,TOI-908 b,1.0,TOI-908,16.137,4.112,-4.039,2.742,0.241,-0.353,1317.0,b,3.183792,0.041657,3.186,0.155,-0.155,2.457,2023-07-10,1.028,5626.0,175.748,10.04,9.637
K2-138e,1.2,0.6,3.382,855,10.3,K2-138 e,K2-138 e,1.0,K2-138,12.97,1.98,-1.99,1.8,0.4,-0.3,794.0,e,8.26146,0.0782,3.39,0.156,-0.11,2.97,2021-03-12,0.863,5356.3,202.585,10.756,10.305
WASP-132c,0.87,0.6,1.839,1453,9.7,WASP-132 c,WASP-132 c,1.0,WASP-132,6.26,1.84,-1.83,5.47,1.96,-1.71,1329.0,c,1.01153624,0.01833,1.841,0.094,-0.093,1.491,2025-01-29,0.758,4686.0,122.91,10.257,9.674
HIP_97166,0.39,0.6,2.733,768,7.9,HIP 97166 b,HIP 97166 b,1.0,HIP 97166,19.1,1.6,-1.5,6.86,1.26,-1.58,701.66,b,10.288914,0.091,2.4801338,0.07271432,-0.05203142,1.5329366,2024-07-23,0.8418,5216.0,65.9501,8.386,7.923
K2-233d,0.46,0.6,2.361,524,8.4,K2-233 d,K2-233 d,1.0,K2-233,10.3,2.4,-2.6,4.3,1.1,-1.1,525.0,d,24.3681,0.1516,2.363,0.062,-0.062,3.791,2025-08-28,0.71,4796.0,67.5062,8.968,8.375
TOI-2000b,0.7,0.6,2.643,1381,9.3,TOI-2000 b,TOI-2000 b,1.0,TOI-2000,11.0,2.4,-2.4,3.07,0.94,-0.78,1488.0,b,3.09833,0.04271,2.7,0.15,-0.15,1.959,2023-06-27,1.134,5611.0,175.713,9.715,9.303001
TOI-2141,0.34,0.5,3.114,740,7.9,TOI-2141 b,TOI-2141 b,1.0,TOI-2141,24.0,4.0,-4.0,4.6,1.3,-1.3,722.0,b,18.26157,0.133,3.05,0.23,-0.23,4.9,2023-11-28,0.98,5659.0,77.682,8.268,7.87
HD_035843c,0.32,0.5,2.542,517,7.8,HD 35843 c,HD 35843 c,1.0,HD 35843,11.32,1.58,-1.48,3.8,0.68,-0.6,479.0,c,46.9622,0.25,2.54,0.08,-0.07,5.8,2025-05-13,0.897,5666.0,69.6026,8.151,7.782
TOI-125d,0.57,0.5,2.923,638,9.0,TOI-125 d,TOI-125 d,1.0,TOI-125,13.6,1.2,-1.2,2.98,0.65,-0.52,638.1,d,19.98,0.137,2.93,0.17,-0.17,3.1128,2020-02-06,0.848,5320.0,111.059,9.466,8.995
K2-138c,1.02,0.5,2.296,1132,10.3,K2-138 c,K2-138 c,1.0,K2-138,6.31,1.13,-1.23,2.8,0.7,-0.6,1012.0,c,3.56004,0.04461,2.299,0.12,-0.087,2.38,2021-03-12,0.863,5356.3,202.585,10.756,10.305
HIP_08152c,0.43,0.5,2.475,699,8.4,HIP 8152 c,HIP 8152 c,1.0,HIP 8152,10.7,2.1,-2.2,3.63,1.02,-1.38,650.68,c,19.60562,0.139,2.52442508,0.14962921,-0.14078921,4.383408,2024-07-23,0.9603,5618.0,101.694,8.847,8.449
TOI-3261,1.53,0.5,3.819,1718,11.2,TOI-3261 b,TOI-3261 b,1.0,TOI-3261,30.3,2.2,-2.4,3.0,1.1,-0.8,1722.0,b,0.8831331,0.01714,3.82,0.42,-0.35,1.618,2024-07-22,0.849,5068.0,300.141,11.664,11.184
TOI-1246e,0.85,0.5,3.774,501,9.9,TOI-1246 e,TOI-1246 e,1.0,TOI-1246,14.5,2.3,-2.3,1.83,0.47,-0.65,463.98,e,37.92548,0.212,3.5141875,0.26911442,-0.18217943,3.5440768,2024-07-22,0.8649,5213.0,169.422,10.294,9.907
TOI-1824,0.31,0.5,2.632,578,7.8,TOI-1824 b,TOI-1824 b,1.0,TOI-1824,16.0,2.6,-2.6,4.24,0.96,-1.21,528.67,b,22.808533,0.151,2.7438269,0.08672208,-0.07211466,4.1100011,2024-07-23,0.8123,5165.0,59.4314,8.283,7.757
K2-199c,0.97,0.5,2.845,695,10.3,K2-199 c,K2-199 c,1.0,K2-199,12.4,2.3,-2.3,2.9,0.7,-0.6,694.0,c,7.3744897,0.0662,2.85,0.1,-0.09,2.452,2022-03-28,0.682,4491.0,107.518,10.277,9.625
Kepler-065,0.77,0.5,2.621,1376,9.8,Kepler-65 b,Kepler-65 b,1.0,Kepler-65,2.45456926,2.39791183,-2.39791183,3.843609,3.774593,-3.774593,1740.0,b,2.15491,0.035,1.42,0.03,-0.03,3.077,2014-05-14,1.41,6211.0,303.728,10.066,9.806
TOI-2196,0.98,0.5,3.506,1856,10.4,TOI-2196 b,TOI-2196 b,1.0,TOI-2196,26.0,1.3,-1.3,3.31,0.51,-0.43,1860.0,b,1.1947268,0.02234,3.51,0.15,-0.15,1.504,2022-08-23,1.043,5634.0,259.947,10.743,10.346
TOI-561d,0.39,0.5,2.613,597,8.4,TOI-561 d,TOI-561 d,1.0,TOI-561,13.33,0.98,-0.98,4.1,0.4,-0.4,600.0,d,25.71268,0.1587,2.615,0.059,-0.059,4.73,2025-02-24,0.843,5342.0,85.799,8.879,8.394
TOI-1246c,0.78,0.5,2.509,932,9.9,TOI-1246 c,TOI-1246 c,1.0,TOI-1246,9.1,1.3,-1.2,3.39,0.78,-1.02,862.49,c,5.904137,0.061,2.45109846,0.13824169,-0.08751012,2.8928243,2024-07-22,0.8649,5213.0,169.422,10.294,9.907
Kepler-025,0.63,0.5,2.746,1330,9.5,Kepler-25 b,Kepler-25 b,1.0,Kepler-25,8.7,2.5,-2.3,2.32,0.67,-0.61,1255.46,b,6.238297,0.0695,2.748,0.038,-0.035,3.6178567,2019-06-07,1.316,6354.0,243.249,9.764,9.493
Kepler-080,2.24,0.5,2.505,640,12.2,Kepler-80 b,Kepler-80 b,1.0,Kepler-80,6.93,1.05,-0.7,1.38,0.24,-0.17,547.0,b,7.05246,0.0648,2.67,0.1,-0.1,2.3982,2016-08-04,0.678,4540.0,369.451,12.954,12.253
NGTS-04,1.27,0.5,3.181,1648,11.1,NGTS-4 b,NGTS-4 b,1.0,NGTS-4,20.6,3.0,-3.0,3.45,0.95,-0.95,1650.0,b,1.3373508,0.019,3.18,0.26,-0.26,1.8,2019-05-14,0.84,5143.0,280.555,11.584,11.073
HD_212729b,0.34,0.5,2.867,1104,8.2,TOI-1052 b,TOI-1052 b,1.0,TOI-1052,16.9,1.7,-1.7,3.93,1.7,-1.3,1135.0,b,9.139703,0.09103,2.87,0.29,-0.24,3.0912936,2023-08-10,1.264,6146.0,129.804,8.56,8.246
WASP-084c,0.42,0.4,1.949,1452,8.9,WASP-84 c,WASP-84 c,1.0,WASP-84,15.2,4.5,-4.2,11.2,4.5,-3.5,1329.0,c,1.4468849,0.02359,1.95,0.12,-0.12,1.111,2023-07-10,0.768,5238.0,100.588,9.346,8.855
K2-138d,0.8,0.4,2.386,985,10.3,K2-138 d,K2-138 d,1.0,K2-138,7.92,1.39,-1.35,3.1,0.7,-0.6,888.0,d,5.40479,0.05893,2.39,0.104,-0.084,2.7,2021-03-12,0.863,5356.3,202.585,10.756,10.305
WASP-047d,0.75,0.4,3.564,985,10.2,WASP-47 d,WASP-47 d,1.0,WASP-47,15.5,0.7,-0.9,1.44,0.42,-0.32,885.0,d,9.030501,0.085,3.65,0.03,-0.03,4.288,2024-08-16,1.156,5476.0,264.78,10.613,10.192
TOI-849,0.82,0.4,3.45,1965,10.4,TOI-849 b,TOI-849 b,1.0,TOI-849,41.8,2.5,-2.4,5.6,0.76,-0.92,1932.0,b,0.765548,0.0155,3.64,0.38,-0.38,1.452,2024-07-22,0.97,5257.0,225.734,10.832,10.418
Kepler-011,1.82,0.4,4.176,636,12.2,Kepler-11 b,Kepler-11 b,1.0,Kepler-11,1.9,1.4,-1.0,1.72,1.25,-0.91,849.0,b,10.3039,0.091,1.8,0.03,-0.05,4.116,2014-05-14,1.065,5663.0,646.346,12.548,12.18
HD_088986,0.06,0.4,2.486,460,4.9,HD 88986 b,HD 88986 b,1.0,HD 88986,17.2,4.0,-3.8,6.1,3.3,-2.3,460.0,b,146.05,0.58,2.49,0.18,-0.18,,2023-12-04,1.543,5861.0,33.2673,5.247,4.884
TOI-1751,0.24,0.4,2.766,688,7.9,TOI-1751 b,TOI-1751 b,1.0,TOI-1751,19.5,3.5,-3.4,4.13,0.99,-1.26,651.64,b,37.46852,0.215,2.9507845,0.11061818,-0.08190008,7.6512325,2024-07-23,1.3137,5970.0,113.335,8.251,7.934
K2-314d,0.52,0.4,3.942,729,9.7,EPIC 249893012 d,EPIC 249893012 d,1.0,EPIC 249893012,10.18,2.46,-2.42,0.91,0.25,-0.23,752.0,d,35.747,0.22,3.94,0.13,-0.12,9.56,2020-02-06,1.71,5430.0,321.296,10.216,9.714
K2-182,0.57,0.4,2.688,1069,9.9,K2-182 b,K2-182 b,1.0,K2-182,20.97667486,5.40308292,-5.08525451,5.7,1.6,-1.5,965.8,b,4.7369696,0.05174,2.71257333,0.11096891,-0.09079274,2.56632,2024-11-20,0.789,5128.0,154.83,10.408,9.913
Kepler-036,0.85,0.4,3.677,1014,10.8,Kepler-36 b,Kepler-36 b,1.0,Kepler-36,3.83,0.11,-0.1,6.26,0.79,-0.64,978.0,b,13.86825,0.11419,1.498,0.061,-0.049,6.78,2020-05-04,1.634,5979.0,527.956,11.124,10.788
K2-265,0.4,0.3,1.714,1420,9.3,K2-265 b,K2-265 b,1.0,K2-265,7.3418362,1.43022783,-1.39844499,7.9,2.1,-1.9,1366.0,b,2.36902,0.03359,1.70824866,0.11208981,-0.08070466,2.3088,2024-11-20,0.92,5420.0,138.671,9.726,9.259
Kepler-454,0.54,0.3,2.363,916,10.0,Kepler-454 b,Kepler-454 b,1.0,Kepler-454,5.4,1.4,-1.4,2.23,0.75,-0.64,916.0,b,10.5737534,0.09528,2.37,0.13,-0.13,1.6953,2023-04-17,1.066,5687.0,230.869,10.357,9.968
Kepler-026,1.85,0.3,3.108,468,12.6,Kepler-26 b,Kepler-26 b,1.0,Kepler-26,5.12,0.65,-0.61,1.26,0.21,-0.19,431.0,b,12.28,0.0847,2.78,0.11,-0.11,2.7096,2016-04-13,0.512,3914.0,335.307,13.408,12.63
TOI-561e,0.26,0.3,2.516,414,8.4,TOI-561 e,TOI-561 e,1.0,TOI-561,12.4,1.4,-1.4,4.3,0.5,-0.5,416.0,e,77.144,0.33,2.517,0.045,-0.045,7.138,2025-02-24,0.843,5391.0,85.799,8.879,8.394
K2-110,0.45,0.3,2.587,638,9.6,K2-110 b,K2-110 b,1.0,K2-110,15.9,2.7,-2.7,5.02,1.1,-0.98,638.0,b,13.86375,0.10207,2.592,0.098,-0.097,3.2184,2023-04-17,0.713,5010.0,116.474,10.184,9.607
TOI-815c,0.21,0.3,2.621,468,8.0,TOI-815 c,TOI-815 c,1.0,TOI-815,23.5,2.4,-2.4,7.2,1.1,-1.0,469.0,c,34.976145,0.193,2.62,0.1,-0.09,2.97,2024-05-13,0.77,4869.0,59.7117,8.531,7.999
K2-038c,0.41,0.3,2.285,926,9.5,K2-38 c,K2-38 c,1.0,K2-38,7.4,1.4,-1.3,2.63,1.0,-0.72,949.0,c,10.56103,0.0959,2.49,0.22,-0.22,2.64,2023-04-17,1.141,5705.0,192.69,9.911,9.47
Kepler-004,0.76,0.3,4.122,1621,10.8,Kepler-4 b,Kepler-4 b,1.0,Kepler-4,24.472,3.814,-3.814,1.91,0.36,-0.47,1650.0,b,3.21346,0.0456,4.002,0.213,-0.213,4.3141611,2014-05-14,1.487,5857.0,487.916,11.122,10.805
Kepler-020,0.7,0.3,3.044,844,10.9,Kepler-20 b,Kepler-20 b,1.0,Kepler-20,9.7,1.3,-1.3,9.4,1.5,-1.4,1187.0,b,3.6961049,0.04565,1.773,0.053,-0.03,2.463,2023-04-17,0.9164,5495.0,282.563,11.252,10.871
K2-199b,0.5,0.3,1.725,915,10.3,K2-199 b,K2-199 b,1.0,K2-199,6.9,1.8,-1.8,7.2,2.1,-2.0,913.0,b,3.2253993,0.0382,1.73,0.05,-0.04,2.017,2022-03-28,0.682,4491.0,107.518,10.277,9.625
K2-111,0.33,0.3,1.814,1304,9.4,K2-111 b,K2-111 b,1.0,K2-111,5.58,0.74,-0.73,5.0,1.1,-1.0,1309.0,b,5.3518,0.0565,1.82,0.11,-0.09,3.192,2023-04-17,1.25,5775.0,200.394,9.768,9.377
K2-314c,0.38,0.3,3.662,949,9.7,EPIC 249893012 c,EPIC 249893012 c,1.0,EPIC 249893012,14.67,1.84,-1.89,1.62,0.3,-0.29,990.0,c,15.624,0.13,3.67,0.17,-0.14,6.37,2020-02-06,1.71,5430.0,321.296,10.216,9.714
TOI-1853,0.44,0.3,3.45,1491,10.1,TOI-1853 b,TOI-1853 b,1.0,TOI-1853,73.2,2.7,-2.7,9.74,0.82,-0.76,1479.0,b,1.2436258,0.0213,3.46,0.08,-0.08,1.19,2023-09-19,0.808,4985.0,165.105,10.582,10.055
TOI-332,0.49,0.3,3.192,1872,10.3,TOI-332 b,TOI-332 b,1.0,TOI-332,57.2,1.6,-1.6,9.6,1.1,-1.3,1871.0,b,0.777038,0.0159,3.2,0.16,-0.11,1.52,2023-09-05,0.87,5251.0,222.852,10.776,10.315
K2-310b,1.06,0.2,2.587,528,12.2,EPIC 212737443 b,EPIC 212737443 b,1.0,EPIC 212737443,,,,,,,536.0,b,13.603,0.098,2.586,0.126,-0.126,2.976,2019-07-19,0.673,4684.0,336.25,12.824,12.16
K2-180,0.54,0.2,2.24,747,10.7,K2-180 b,K2-180 b,1.0,K2-180,11.41003981,2.38371305,-2.16123317,4.16,1.1,-0.92,797.5,b,8.865663,0.0756,2.46597575,0.10984801,-0.09639723,2.8488,2024-11-20,0.719,5365.0,203.896,11.146,10.677
WASP-047c,0.38,0.2,1.807,2225,10.2,WASP-47 c,WASP-47 c,1.0,WASP-47,447.0,18.0,-22.0,,,,219.3,c,589.57,1.36,,,,,2024-08-16,1.156,5476.0,264.78,10.613,10.192
Kepler-079,1.16,0.2,3.483,546,12.6,Kepler-79 b,Kepler-79 b,1.0,Kepler-79,10.9,7.4,-6.0,1.43,0.97,-0.78,929.0,b,13.4845,0.117,3.47,0.07,-0.07,5.0197,2016-03-09,1.302,6174.0,1020.72,12.913,12.606
Kepler-049,1.02,0.2,2.577,637,12.4,Kepler-49 b,Kepler-49 b,1.0,Kepler-49,9.77,0.94,-0.95,3.082111,0.391467,-0.391467,509.0,b,7.2,0.0595,2.579,0.087,-0.086,2.9766,2024-06-10,0.618,4095.6,311.222,13.184,12.383
