star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
TOI-824,1.23,1.5,2.923,1257,8.4,TOI-824 b,TOI-824 b,1.0,TOI-824,18.467,1.843,-1.875,4.03,0.98,-0.78,1253.0,b,1.392978,0.02177,2.926,0.202,-0.191,1.15344,2020-09-17,0.695,4600.0,63.9262,9.145001,8.432
TOI-1246d,2.39,1.5,3.506,636,9.9,TOI-1246 d,TOI-1246 d,1.0,TOI-1246,5.4,1.9,-1.9,0.73,0.28,-0.33,587.77,d,18.654874,0.132,3.43139739,0.14960553,-0.11612674,3.9484217,2024-07-22,0.8649,5213.0,169.422,10.294,9.907
HR_858d,0.26,1.5,1.999,1062,5.2,HR 858 d,HR 858 d,1.0,HR 858,7.1,1.6,-1.6,4.9,1.2,-1.1,1061.0,d,11.230511,0.1046,2.001,0.063,-0.064,3.47,2025-03-03,1.258,6354.0,31.964,5.473,5.149
TOI-654,2.32,1.4,2.377,798,9.9,TOI-654.01,TOI-654.01,1.0,TOI-654,8.71,1.25,-1.25,3.59,0.65,-0.65,794.0,b,1.527561,0.01944,2.378,0.089,-0.089,1.2,2025-08-14,0.43,3521.0,57.7553,10.744,9.918
Wolf_503,0.79,1.4,2.042,790,7.6,Wolf 503 b,Wolf 503 b,1.0,Wolf 503,6.27,0.85,-0.84,4.03,0.72,-0.64,789.0,b,6.00127,0.05712,2.043,0.069,-0.069,1.6479258,2023-04-17,0.689,4716.0,44.526,8.324,7.617
HD_003167c,0.6,1.4,2.916,564,7.1,HD 3167 c,HD 3167 c,1.0,HD 3167,11.13,0.78,-0.74,2.11,0.51,-0.69,564.0,c,29.8454,0.1776,3.0,0.45,-0.21,4.869,2023-04-17,0.88,5261.0,47.2899,7.548,7.066
HD_073583c,0.56,1.4,2.386,497,6.9,HD 73583 c,HD 73583 c,1.0,HD 73583,9.7,1.8,-1.7,3.88,0.91,-0.8,498.0,c,18.87974,0.1242,2.39,0.1,-0.09,3.67,2022-03-16,0.65,4511.0,31.5666,7.649,6.948
TOI-1470b,1.61,1.4,2.173,725,9.3,TOI-1470 b,TOI-1470 b,1.0,TOI-1470,7.32,1.21,-1.24,3.86,0.7,-0.68,734.0,b,2.527093,0.0285,2.18,0.04,-0.04,1.28,2023-08-07,0.469,3709.0,51.9503,10.154,9.283
HD_207897,0.39,1.3,2.499,632,6.3,HD 207897 b,HD 207897 b,1.0,HD 207897,14.8,1.5,-1.4,6.29,1.32,-1.78,581.75,b,16.20166,0.117,2.34302132,0.123646,-0.09173373,2.9048422,2024-07-22,0.7827,5106.0,28.2938,6.83,6.312
HD_093963c,0.77,1.3,3.228,1335,7.8,HD 93963 A c,HD 93963 A c,1.0,HD 93963 A,18.4,3.2,-3.1,3.31,0.8,-1.01,1212.45,c,3.6451389,0.04726,3.11976057,0.13502367,-0.10446158,2.3643117,2024-07-22,1.0311,5908.0,82.3432,8.108,7.776
K2-093c,0.75,1.3,2.725,757,7.7,HIP 41378 c,HIP 41378 c,1.0,HIP 41378,4.4,1.1,-1.1,1.19,0.3,-0.3,757.0,c,31.70603,,2.727,0.06,-0.06,2.3326321,2025-09-17,1.273,6320.0,106.289,7.982,7.722
TOI-776b,0.8,1.3,1.826,513,7.9,TOI-776 b,TOI-776 b,1.0,TOI-776,5.0,1.6,-1.6,4.8,1.8,-1.6,520.0,b,8.24662,0.0653,1.798,0.078,-0.077,2.382,2024-06-10,0.547,3725.0,27.1701,8.483,7.615
HD_023472c,0.62,1.3,1.87,469,7.3,HD 23472 c,HD 23472 c,1.0,HD 23472,3.41,0.88,-0.81,3.1,1.0,-0.84,467.0,c,29.79749,0.1646,1.87,0.12,-0.11,2.94,2022-10-03,0.71,4684.0,39.0341,7.865,7.207
HD_183579,0.57,1.3,3.488,758,7.2,HD 183579 b,HD 183579 b,1.0,HD 183579,20.4,2.6,-2.5,2.65,0.37,-0.35,752.0,b,17.471291,0.1322,3.49,0.07,-0.064,4.306,2024-08-29,0.96,5784.0,57.2651,7.518,7.15
TOI-1136b,0.84,1.3,1.904,1210,8.0,TOI-1136 b,TOI-1136 b,1.0,TOI-1136,3.5,0.8,-0.7,2.8,1.0,-1.0,1216.0,b,4.1727,0.05106,1.9,0.21,-0.15,2.07,2024-04-10,0.968,5770.0,84.5362,8.363,8.034
TOI-130,0.44,1.3,2.453,943,6.6,HD 5278 b,HD 5278 b,1.0,HD 5278,7.8,1.5,-1.4,2.9,0.6,-0.5,943.0,b,14.339156,0.1202,2.45,0.05,-0.05,4.8,2021-04-23,1.194,6203.0,57.5846,6.949,6.605
Ross_176,0.99,1.2,1.837,682,8.4,Ross 176 b,Ross 176 b,1.0,Ross 176,4.57,0.89,-0.93,4.03,0.49,-0.81,682.0,b,5.0066338,0.0464,1.84,0.08,-0.08,1.66,2025-08-14,0.569,4041.0,46.4488,9.243,8.419
HD_110113,1.02,1.2,2.05,1453,8.5,HD 110113 b,HD 110113 b,1.0,HD 110113,4.55,0.62,-0.62,2.9,0.75,-0.59,1371.0,b,2.541,0.035,2.05,0.12,-0.12,2.376,2021-02-05,0.968,5732.0,106.307,8.903,8.502
TOI-125c,1.26,1.2,2.755,828,9.0,TOI-125 c,TOI-125 c,1.0,TOI-125,6.63,0.99,-0.99,1.73,0.33,-0.33,827.8,c,9.15059,0.0814,2.759,0.1,-0.1,2.9544,2020-02-06,0.848,5320.0,111.059,9.466,8.995
K2-003b,1.02,1.2,2.076,501,8.6,K2-3 b,K2-3 b,1.0,K2-3,5.11,0.65,-0.64,3.11,0.49,-0.46,501.3,b,10.0546535,0.0747,2.078,0.076,-0.067,2.640621,2023-07-10,0.546,3844.0,44.0727,9.421,8.561
TOI-1272,1.69,1.2,4.133,1051,9.7,TOI-1272 b,TOI-1272 b,1.0,TOI-1272,27.0,2.7,-2.5,2.09,0.44,-0.59,975.0,b,3.31599,0.0417,4.13204907,0.2262768,-0.15125906,1.5708493,2024-07-23,0.7934,5065.0,137.572,10.218,9.701
TOI-776c,0.72,1.1,2.061,414,7.9,TOI-776 c,TOI-776 c,1.0,TOI-776,6.9,2.6,-2.5,4.4,1.8,-1.6,420.0,c,15.665323,0.1001,2.047,0.081,-0.078,2.932,2024-06-10,0.547,3725.0,27.1701,8.483,7.615
TOI-178f,1.04,1.1,2.415,525,8.8,TOI-178 f,TOI-178 f,1.0,TOI-178,7.72,1.67,-1.52,3.6,1.2,-0.83,521.0,f,15.231915,0.1039,2.287,0.108,-0.11,2.348,2021-03-12,0.651,4316.0,62.699,9.372,8.656
TOI-1736,0.51,1.1,3.046,1180,7.3,TOI-1736 b,TOI-1736 b,1.0,TOI-1736,12.3,1.5,-1.4,2.09,0.43,-0.56,1099.79,b,7.073076,0.073,3.18175535,0.12195694,-0.09508409,3.9825962,2024-07-22,1.4286,5636.0,88.9482,7.688,7.283
TOI-179,0.43,1.1,2.598,991,6.9,HD 18599 b,HD 18599 b,1.0,HD 18599,24.1,7.1,-7.7,7.5,2.6,-2.4,918.68,b,4.1374354,0.048,2.6,0.15,-0.13,2.06,2022-11-07,0.767,5145.0,38.5653,7.428,6.883
TOI-1260b,1.1,1.1,2.408,872,8.9,TOI-1260 b,TOI-1260 b,1.0,TOI-1260,8.56,1.54,-1.54,3.35,0.64,-0.64,871.0,b,3.127463,0.0367,2.41,0.05,-0.05,2.06,2022-12-17,0.672,4227.0,73.5977,9.698,8.95
TOI-406c,1.05,1.1,2.083,368,8.9,TOI-406 c,TOI-406 c,1.0,TOI-406,2.08,0.23,-0.22,4.9,1.4,-1.4,584.0,c,3.307441,0.0322,1.32,0.12,-0.12,1.05,2024-12-16,0.41,3392.0,31.0597,9.695,8.848
HD_006061,0.53,1.1,2.453,1192,7.4,HD 6061 b,HD 6061 b,1.0,HD 6061,10.0,2.5,-2.5,3.82,1.1,-1.39,1075.31,b,5.2549,0.06,2.42763557,0.09903199,-0.07283589,3.239598,2024-07-23,1.0072,5934.0,67.6203,7.711,7.392
HD_077946,0.59,1.1,2.703,1243,7.6,HD 77946 b,HD 77946 b,1.0,HD 77946,10.9,1.8,-1.7,2.44,0.61,-0.83,1128.86,b,6.527363,0.073,2.89646124,0.1867559,-0.14235529,2.9756716,2024-07-23,1.3174,6007.0,99.451,7.904,7.622
TOI-1246b,1.68,1.1,3.013,1040,9.9,TOI-1246 b,TOI-1246 b,1.0,TOI-1246,8.1,1.1,-1.1,1.63,0.23,-0.23,955.0,b,4.30744,0.049,3.01,0.06,-0.06,2.3379196,2022-05-03,0.86,5151.0,169.422,10.294,9.907
K2-002,0.7,1.0,2.464,753,8.0,HIP 116454 b,HIP 116454 b,1.0,HIP 116454,9.7,1.2,-1.2,3.53,0.63,-0.57,753.2,b,9.1004157,0.0792,2.469,0.1,-0.091,2.431,2024-10-03,0.758,5048.0,62.4491,8.604,8.029
TOI-1695,0.99,1.0,1.904,688,8.8,TOI-1695 b,TOI-1695 b,1.0,TOI-1695,6.36,1.0,-1.0,5.0,1.8,-1.3,698.0,b,3.1342791,0.033548,1.9,0.16,-0.14,1.311,2023-02-25,0.515,3690.0,45.1309,9.64,8.818
TOI-125b,1.07,1.0,2.724,1037,9.0,TOI-125 b,TOI-125 b,1.0,TOI-125,9.5,0.88,-0.88,2.57,0.33,-0.33,1037.0,b,4.65382,0.05186,2.726,0.075,-0.075,2.9616,2020-02-06,0.848,5320.0,111.059,9.466,8.995
