hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y,target_id
GJ 3090,b,Transit,GO,4098,2,111,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45477.31,45477.53,5.19,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708.0,0.1,1.2,252.99,1.03,X,-0.06,,,GJ 3090 b,GJ 3090 b,1.0,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693.0,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,28/11/2023,0.516,3556.0,22.4751,8.168,7.294,GJ 3090b
HAT-P-11,b,Transit,GO,4105,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45486.75,45487.03,7.1,Alderson,12,19 50 50.4423 +48 04 54.71,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,,,HAT-P-11 b,HAT-P-11 b,1.0,HAT-P-11,23.51930212,1.27131363,-1.27131363,1.172,0.085,-0.085,847.0,b,4.888,0.05258,4.901,0.065,-0.065,2.3565,24/2/2025,0.74,4653.0,37.7647,7.608,7.009,HAT-P-11b
TOI-1468,c,Transit,GO,3557,2,8,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,45487.93,45488.13,5.16,Madhusudhan,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382.0,0.346,0.369,4.855,15.532477,0.086,89.28,0.017,0.184,14.12,4.1,337.8,0.3,1.8,83.49,0.0,X,-0.02,,,TOI-1468 c,TOI-1468 c,1.0,TOI-1468,4.1,1.1,-1.1,2.31,0.72,-0.66,338.1,c,15.532477,0.08608,2.126,0.092,-0.093,1.86,11/6/2025,0.3714,3376.0,24.7399,9.343,8.497,TOI-1468c
HAT-P-11,b,Transit,GO,4105,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45491.63,45491.92,7.1,Alderson,12,19 50 50.4423 +48 04 54.71,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,,,HAT-P-11 b,HAT-P-11 b,1.0,HAT-P-11,23.51930212,1.27131363,-1.27131363,1.172,0.085,-0.085,847.0,b,4.888,0.05258,4.901,0.065,-0.065,2.3565,24/2/2025,0.74,4653.0,37.7647,7.608,7.009,HAT-P-11b
TOI-270,d,Transit,GTO,2759,2,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45510.36,45510.67,8.53,Lafreniere,12,04 33 39.8638 -51 57 26.75,8.251,22.48,3446.0,0.4,0.38,4.856,11.379573,0.073,89.69,0.015,0.193,11.46,3.18,379.9,0.3,2.2,128.15,0.01,X,-0.17,clear,yes,TOI-270 d,TOI-270 d,1.0,TOI-270,4.78,0.43,-0.43,2.72,0.33,-0.33,387.0,d,11.379573,0.0721,2.133,0.058,-0.058,2.2350305,3/8/2021,0.378,3506.0,22.4793,9.099,8.251,TOI-270d
TOI-1130,b,Transit,GO,3385,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,8,45524.36,45524.68,8.12,Huang,12,19 05 30.2409 -41 26 15.50,8.351,58.26,4250.0,0.698,0.695,4.6,4.07445,0.045,87.98,0.061,0.326,16.39,2.69,809.3,0.3,2.1,93.64,1.79,X,0.2,clear,no,TOI-1130 b,TOI-1130 b,1.0,TOI-1130,19.8,0.2,-0.3,2.23,0.06,-0.06,825.0,b,4.074554,0.0453,3.66,0.03,-0.04,1.8373729,30/8/2024,0.697,4360.0,58.2609,9.055,8.351,TOI-1130b
TOI-1130,b,Transit,GO,3385,2,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45528.45,45528.77,8.07,Huang,12,19 05 30.2409 -41 26 15.50,8.351,58.26,4250.0,0.698,0.695,4.6,4.07445,0.045,87.98,0.061,0.326,16.39,2.69,809.3,0.3,2.1,93.64,1.79,X,0.2,,,TOI-1130 b,TOI-1130 b,1.0,TOI-1130,19.8,0.2,-0.3,2.23,0.06,-0.06,825.0,b,4.074554,0.0453,3.66,0.03,-0.04,1.8373729,30/8/2024,0.697,4360.0,58.2609,9.055,8.351,TOI-1130b
TOI-125,b,Transit,GO,4126,2,101,Executed,BOTS,G395H,SUB2048,NRSRAPID,22,45564.78,45565.16,9.97,Fisher,12,01 34 22.4221 -66 40 34.86,8.995,111.06,5282.0,0.871,0.851,4.517,4.6528365,0.052,88.92,0.03,0.243,14.32,3.15,1030.6,0.1,3.0,49.67,1.12,X,0.07,unsure,no,TOI-125 b,TOI-125 b,1.0,TOI-125,9.5,0.88,-0.88,2.57,0.33,-0.33,1037.0,b,4.65382,0.05186,2.726,0.075,-0.075,2.9616,6/2/2020,0.848,5320.0,111.059,9.466,8.995,TOI-125b
LTT 9779,b,PhaseC,GO,3231,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45582.32,45583.22,24.97,Crossfield,12,23 54 40.5408 -37 37 41.64,8.016,80.44,5443.0,1.02,0.949,4.386,0.7920642,0.017,76.39,0.092,0.421,14.75,1.87,1973.2,0.1,0.5,184.25,33.89,X,0.27,,,LTT 9779 b,LTT 9779 b,1.0,LTT 9779,29.32,0.78,-0.81,1.536,0.123,-0.123,1978.0,b,0.792052,0.01679,4.72,0.23,-0.23,0.466,17/9/2020,0.949,5443.0,80.4373,8.446,8.016,LTT 9779b
TOI-4010,b,Transit,GO,5894,3,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45610.91,45611.16,6.22,Kunimoto,12,01 20 51.5598 +66 04 19.91,10.157,177.5,4924.0,0.88,0.855,4.495,1.3483213,0.023,88.1,0.035,0.277,12.76,2.46,1450.9,0.1,1.8,52.71,3.33,X,0.37,unsure,no,TOI-4010 b,TOI-4010 b,1.0,TOI-4010,11.0,1.29,-1.27,2.2,0.3,-0.3,1441.0,b,1.348335,0.0229,3.02,0.08,-0.08,1.77,27/6/2023,0.83,4960.0,177.504,10.649,10.157,TOI-4010b
TOI-125,c,Transit,GO,4126,2,201,Executed,BOTS,G395H,SUB2048,NRSRAPID,22,45622.73,45623.12,9.95,Fisher,12,01 34 22.4221 -66 40 34.86,8.995,111.06,5282.0,0.871,0.851,4.517,9.1526075,0.082,88.54,0.021,0.246,9.76,2.12,822.5,0.1,2.9,58.89,0.39,X,0.07,unsure,no,TOI-125 c,TOI-125 c,1.0,TOI-125,6.63,0.99,-0.99,1.73,0.33,-0.33,827.8,c,9.15059,0.0814,2.759,0.1,-0.1,2.9544,6/2/2020,0.848,5320.0,111.059,9.466,8.995,TOI-125c
GJ 9827,d,Transit,GO,4098,2,91,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45624.77,45624.98,5.09,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255.0,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,,,GJ 9827 d,GJ 9827 d,1.0,GJ 9827,3.02,0.58,-0.57,2.51,0.57,-0.51,675.0,d,6.20183,0.053,1.98,0.11,-0.1,1.248,15/10/2024,0.58,4236.0,29.661,7.984,7.193,GJ 9827d
TOI-1468,c,Transit,GO,3557,2,7,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45627.7,45627.92,5.44,Madhusudhan,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382.0,0.346,0.369,4.855,15.532477,0.086,89.28,0.017,0.184,14.12,4.1,337.8,0.3,1.8,83.49,0.0,X,-0.02,,,TOI-1468 c,TOI-1468 c,1.0,TOI-1468,4.1,1.1,-1.1,2.31,0.72,-0.66,338.1,c,15.532477,0.08608,2.126,0.092,-0.093,1.86,11/6/2025,0.3714,3376.0,24.7399,9.343,8.497,TOI-1468c
K2-18,b,Transit,GO,2372,1,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45638.44,45638.87,11.34,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
K2-18,b,Transit,GO,2372,1,2,Executed,BOTS,G235H,SUB2048,NRSRAPID,9,45671.38,45671.81,11.34,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
TOI-1231,b,Transit,GO,3557,2,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45678.79,45679.1,7.66,Madhusudhan,12,10 26 59.3375 -52 28 4.16,8.069,27.62,3544.0,0.485,0.471,4.808,24.2455413,0.129,89.73,0.048,0.336,12.18,1.94,326.7,0.6,3.3,130.1,0.0,X,0.04,,,TOI-1231 b,TOI-1231 b,1.0,TOI-1231,15.4,3.3,-3.3,1.74,0.47,-0.42,329.6,b,24.245586,0.1288,3.65,0.16,-0.15,3.24,9/11/2021,0.476,3553.0,27.6227,8.876,8.069,TOI-1231b
GJ 3470,b,Transit,GTO,4536,3,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,9,45723.07,45723.36,7.06,Greene,12,07 59 5.6341 +15 23 28.32,7.989,29.42,3600.0,0.524,0.5,4.738,3.3366496,0.036,88.88,0.044,0.37,9.05,1.31,651.3,0.6,1.9,353.73,1.9,X,0.2,clear,no,GJ 3470 b,GJ 3470 b,1.0,GJ 3470,13.9,1.5,-1.5,0.8,0.13,-0.13,593.5,b,3.3366496,0.0355,4.57,0.18,-0.18,1.8580034,28/1/2019,0.547,3600.0,29.4214,8.794,7.989,GJ 3470b
K2-18,b,Transit,GO,2372,1,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45803.14,45803.57,11.34,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
TOI-4336 A,b,Transit,GO,4711,3,1,Executed,SOSS,X,SUBSTRIP96,NISRAPID,9,45836.16,45836.48,8.59,Hu,12,13 44 25.4773 -40 20 15.52,8.632,22.55,3331.5,0.331,0.327,4.912,16.3363503,0.087,89.55,-1.0,0.186,-1.0,-1.0,311.2,0.4,2.0,-1.0,0.0,X,-0.21,,,TOI-4336 A b,TOI-4336 A b,1.0,TOI-4336 A,,,,,,,308.0,b,16.336334,0.0872,2.12,0.08,-0.09,2.0897,8/5/2024,0.328,3298.0,22.5455,9.453,8.632,TOI-4336 Ab
LHS 1140,b,Transit,GO,7073,4,24,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45854.97,45855.24,6.82,Lustig-Yaeger,0,00 44 59.3309 -15 16 17.54,8.821,14.99,3131.0,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,227.5,0.5,2.1,69.87,0.0,X,-0.24,,,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096.0,14.9861,9.612001,8.821,LHS 1140b
HAT-P-11,b,Transit,GO,5924,3,1,Executed,SOSS,X,SUBSTRIP96,NISRAPID,3,45877.79,45878.1,7.78,Sing,0,19 50 50.2473 +48 04 51.10,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,clear,no,HAT-P-11 b,HAT-P-11 b,1.0,HAT-P-11,23.51930212,1.27131363,-1.27131363,1.172,0.085,-0.085,847.0,b,4.888,0.05258,4.901,0.065,-0.065,2.3565,24/2/2025,0.74,4653.0,37.7647,7.608,7.009,HAT-P-11b
LHS 1140,b,Transit,GO,7073,4,21,Executed,SOSS,X,SUBSTRIP256,NISRAPID,5,45879.7,45879.98,7.04,Lustig-Yaeger,0,00 44 59.3309 -15 16 17.54,8.821,14.99,3131.0,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,227.5,0.5,2.1,69.87,0.0,X,-0.24,,,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096.0,14.9861,9.612001,8.821,LHS 1140b
