hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y,target_id
TOI-776,c,Transit,GO,2512,1,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45073.47,45073.81,9.55,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717.0,0.544,0.538,4.731,15.6653276,0.1,89.51,0.019,0.183,16.31,4.78,415.6,0.1,3.0,62.4,0.01,X,-0.2,,,TOI-776 c,TOI-776 c,1.0,TOI-776,6.9,2.6,-2.5,4.4,1.8,-1.6,420.0,c,15.665323,0.1001,2.047,0.081,-0.078,2.932,10/6/2024,0.547,3725.0,27.1701,8.483,7.615,TOI-776c
K2-18,b,Transit,GO,2722,1,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,45078.58,45078.82,6.94,Madhusudhan,12,11 30 14.4311 +07 35 16.13,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,clear,yes,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
TOI-776,b,Transit,GO,2512,1,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45086.56,45086.89,8.74,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717.0,0.544,0.538,4.731,8.2466166,0.065,89.65,0.014,0.16,15.6,5.2,514.7,0.1,2.4,70.97,0.06,X,-0.2,,,TOI-776 b,TOI-776 b,1.0,TOI-776,5.0,1.6,-1.6,4.8,1.8,-1.6,520.0,b,8.24662,0.0653,1.798,0.078,-0.077,2.382,10/6/2024,0.547,3725.0,27.1701,8.483,7.615,TOI-776b
LP 791-18,c,Transit,GTO,1201,1,401,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,45094.68,45094.89,5.22,Lafreniere,12,11 02 45.7162 -16 24 23.20,10.644,26.49,2960.0,0.139,0.171,5.115,4.9899134,0.03,89.55,0.022,0.218,13.38,3.29,343.9,1.9,1.2,183.37,0.01,X,-0.09,clear,no,LP 791-18 c,LP 791-18 c,1.0,LP 791-18,7.1,0.7,-0.7,,,,324.4,c,4.9899093,0.02961,2.438,0.096,-0.096,1.167,14/5/2023,0.182,2960.0,26.4927,11.559,10.644,LP 791-18c
LHS 1140,b,Transit,GO,2334,1,2,Executed,BOTS,G235H,SUB2048,NRSRAPID,8,45112.83,45113.11,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131.0,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226.0,0.5,2.1,69.87,0.0,X,-0.24,unsure,yes,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096.0,14.9861,9.612001,8.821,LHS 1140b
HD 15337,b,Transit,GO,2512,1,17,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45123.91,45124.25,9.04,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131.0,0.851,0.848,4.428,4.7560652,0.052,88.5,0.023,0.153,27.51,9.64,996.3,0.0,2.5,38.8,0.99,X,0.03,unsure,no,HD 15337 b,HD 15337 b,1.0,HD 15337,6.519,0.409,-0.4,6.458,0.518,-0.51,909.53,b,4.7559804,0.05245,1.77,0.032,-0.03,2.5469696,12/2/2025,0.855,5131.0,44.8155,7.553,7.044,HD 15337b
GJ 1214,b,Transit,GTO,1185,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45125.26,45125.51,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026.0,0.157,0.211,5.0,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,flat,yes,GJ 1214 b,GJ 1214 b,1.0,GJ 1214,8.41,0.36,-0.35,2.26,0.11,-0.11,567.0,b,1.580404531,0.01505,2.733,0.033,-0.031,0.86966,25/3/2024,0.2162,3101.0,14.6427,9.75,8.782,GJ 1214b
GJ 1214,b,Transit,GTO,1185,1,19,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45126.84,45127.09,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026.0,0.157,0.211,5.0,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,,,GJ 1214 b,GJ 1214 b,1.0,GJ 1214,8.41,0.36,-0.35,2.26,0.11,-0.11,567.0,b,1.580404531,0.01505,2.733,0.033,-0.031,0.86966,25/3/2024,0.2162,3101.0,14.6427,9.75,8.782,GJ 1214b
HD 15337,c,Transit,GO,2512,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45131.17,45131.44,7.8,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131.0,0.851,0.848,4.428,17.179473,0.125,88.41,0.026,0.219,15.06,3.68,644.2,0.1,2.2,65.71,0.18,X,0.03,unsure,no,HD 15337 c,HD 15337 c,1.0,HD 15337,6.792,1.302,-1.143,2.303,0.505,-0.414,592.77,c,17.180546,0.1235,2.526,0.086,-0.075,2.1004813,12/2/2025,0.855,5131.0,44.8155,7.553,7.044,HD 15337c
LHS 1140,b,Transit,GO,2334,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,15,45137.57,45137.84,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131.0,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226.0,0.5,2.1,69.87,0.0,X,-0.24,,,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096.0,14.9861,9.612001,8.821,LHS 1140b
