CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
1.9715,0.019,0.10039,0.00529,-0.00532,Piaulet-Ghorayeb et al. 2024,0.03168,0.00082,-0.00085,Calculated,0.1788,0.0104,-0.0104,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.991,0.02,0.10071,0.0058,-0.00546,Piaulet-Ghorayeb et al. 2024,0.03173,0.0009,-0.00087,Calculated,0.1791,0.0105,-0.0105,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.0115,0.021,0.09127,0.00576,-0.0057,Piaulet-Ghorayeb et al. 2024,0.03021,0.00094,-0.00096,Calculated,0.1705,0.0103,-0.0103,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.0315,0.019,0.09684,0.00676,-0.00687,Piaulet-Ghorayeb et al. 2024,0.03112,0.00107,-0.00112,Calculated,0.1756,0.011,-0.011,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.0515,0.021,0.10049,0.00513,-0.00537,Piaulet-Ghorayeb et al. 2024,0.0317,0.0008,-0.00086,Calculated,0.1789,0.0104,-0.0104,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.0725,0.021,0.09272,0.00561,-0.00593,Piaulet-Ghorayeb et al. 2024,0.03045,0.00091,-0.00099,Calculated,0.1719,0.0104,-0.0104,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.093,0.02,0.10369,0.00562,-0.00516,Piaulet-Ghorayeb et al. 2024,0.0322,0.00086,-0.00081,Calculated,0.1817,0.0105,-0.0105,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.1135,0.021,0.10319,0.00599,-0.00575,Piaulet-Ghorayeb et al. 2024,0.03212,0.00092,-0.00091,Calculated,0.1813,0.0107,-0.0107,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.135,0.022,0.10853,0.00564,-0.0055,Piaulet-Ghorayeb et al. 2024,0.03294,0.00085,-0.00085,Calculated,0.1859,0.0107,-0.0107,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
2.1565,0.021,0.08178,0.00717,-0.00699,Piaulet-Ghorayeb et al. 2024,0.0286,0.00123,-0.00125,Calculated,0.1614,0.0109,-0.0109,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
