time_bjd,time_from_t0_hr,flux,flux_err,bestfit_model,residual,residual_ppm,is_outlier,transit_model,trend_model,detrended_flux
60001.1881322,28.512995746394154,0.9999678552188968,3.367356840966451e-05,1.0000080922334653,-4.02370145685671e-05,-40.2370145685671,0,1.0000946304889655,0.9999134699328823,1.0000543899923842
60001.18979886667,28.552995746489614,0.9999343043452028,3.367356840966451e-05,1.0000080774936555,-7.377314845269378e-05,-73.77314845269379,0,1.0000946304889655,0.9999134551944673,1.0000208509552775
60001.19146553333,28.592995746410452,1.000043845411312,3.367356840966451e-05,1.0000080627538457,3.578265746639886e-05,35.78265746639886,0,1.0000946304889655,0.9999134404560521,1.0001304162440305
60001.1931322,28.632995746505912,1.0000252686459579,3.367356840966451e-05,1.000008048014036,1.722063192177714e-05,17.22063192177714,0,1.0000946304889655,0.9999134257176372,1.0001118526118802
60001.194798866665,28.67299574642675,1.0000762268808017,3.367356840966451e-05,1.0000080332742265,6.819360657517315e-05,68.19360657517315,0,1.0000946304889655,0.9999134109792224,1.0001628300008696
60001.19646553333,28.712995746347588,1.0000277071327002,3.367356840966451e-05,1.0000080185344167,1.9688598283496006e-05,19.688598283496006,0,1.0000946304889655,0.9999133962408072,1.0001143207925034
60001.1981322,28.752995746443048,1.0000438544807286,3.367356840966451e-05,1.000008003794607,3.58506861215524e-05,35.8506861215524,0,1.0000946304889655,0.9999133815023924,1.0001304842806886
60001.19979886666,28.792995746363886,0.9999905639469354,3.367356840966451e-05,1.0000079890547975,-1.7425107862067968e-05,-17.425107862067968,0,1.0000946304889655,0.9999133667639775,1.0000772038713792
60001.20146553333,28.832995746459346,1.0000113622886855,3.367356840966451e-05,1.0000079743149877,3.387973697810409e-06,3.387973697810409,0,1.0000946304889655,0.9999133520255623,1.0000980187562498
60001.2031322,28.872995746380184,0.9999844991402376,3.367356840966451e-05,1.000007959575178,-2.3460434940503205e-05,-23.460434940503205,0,1.0000946304889655,0.9999133372871475,1.0000711680207037
60001.20479886667,28.912995746475644,1.0000575825600888,3.367356840966451e-05,1.0000079448353683,4.963772472055261e-05,49.63772472055261,0,1.0000946304889655,0.9999133225487323,1.0001442725165306
60001.20646553333,28.952995746396482,0.9999904845653769,3.367356840966451e-05,1.0000079300955587,-1.744553018179218e-05,-17.44553018179218,0,1.0000946304889655,0.9999133078103174,1.0000771834462614
60001.2081322,28.992995746491943,1.0000170093412466,3.367356840966451e-05,1.0000079153557488,9.093985497754531e-06,9.093985497754531,0,1.0000946304889655,0.9999132930719024,1.0001037252630431
60001.209798866665,29.03299574641278,0.999990543742243,3.367356840966451e-05,1.0000079006159392,-1.7356873696194874e-05,-17.356873696194874,0,1.0000946304889655,0.9999132783334874,1.0000772721099218
60001.211465533335,29.07299574650824,0.9999971794854909,3.367356840966451e-05,1.0000078858761294,-1.070639063849299e-05,-10.70639063849299,0,1.0000946304889655,0.9999132635950724,1.0000839231696126
